Url,MonitorName,ÔÄ¶Á,µãÔÞ,ÆÀÂÛ,×ª·¢
http://weibo.com/6800783886/I5cKh5iHY,±¦¿¥,,0,0,0
http://weibo.com/6796089946/I5cKDg09h,±¦¿¥,,0,0,0
http://weibo.com/2734260474/I5cKbblkH,±¦¿¥,,1,0,0
http://weibo.com/6813096016/I5cL52iyE,±¦¿¥,,0,0,0
http://weibo.com/6799618405/I5cL6uZdB,±¦¿¥,,0,0,0
http://weibo.com/6799795988/I5cKTdpRe,±¦¿¥,,0,0,0
http://weibo.com/6813094718/I5cKPDW3I,±¦¿¥,,0,0,0
http://weibo.com/6524695843/I5cL6sWCg,±¦¿¥,,0,0,0
http://weibo.com/6800609053/I5cL0zLw6,±¦¿¥,,0,0,0
http://weibo.com/6801183020/I5cL0BTnm,±¦¿¥,,0,0,0
http://weibo.com/6800612123/I5cKLvsd6,±¦¿¥,,0,0,0
http://weibo.com/6813093051/I5cKGvZDk,±¦¿¥,,0,0,0
http://weibo.com/6800611182/I5cKWtraT,±¦¿¥,,0,0,0
http://weibo.com/6808021138/I5cKIx7vv,±¦¿¥,,0,0,0
http://weibo.com/6813230312/I5cKVzgfQ,±¦¿¥,,0,0,0
http://weibo.com/3731025784/I5cL7meRF,±¦¿¥,,0,0,0
http://weibo.com/6808192432/I5cLaBs7p,±¦¿¥,,0,0,0
http://weibo.com/3889757492/I5cKWtr1G,±¦¿¥,,0,0,0
http://weibo.com/6800610918/I5cKSBK7b,±¦¿¥,,0,0,0
http://weibo.com/6795072046/I5cL6uZdP,±¦¿¥,,0,0,0
http://weibo.com/6800610918/I5cKMnWJ1,±¦¿¥,,0,0,0
http://weibo.com/6812108376/I5cL6dmiY,±¦¿¥,,0,0,0
http://weibo.com/6799624260/I5cKXEnrw,±¦¿¥,,0,0,0
http://weibo.com/6785107302/I5cKR8WPR,±¦¿¥,,0,0,0
http://weibo.com/6813094950/I5cKOcLX5,±¦¿¥,,0,0,0
http://weibo.com/6800784432/I5cKNhfzU,±¦¿¥,,0,0,0
http://weibo.com/6796091236/I5cKZ9lve,±¦¿¥,,0,0,0
http://weibo.com/6800609053/I5cLajPqB,±¦¿¥,,0,0,0
http://weibo.com/6812109727/I5cLmcQDO,±¦¿¥,,0,0,0
http://weibo.com/6808022854/I5cKm6eOT,±¦¿¥,,0,0,0
http://weibo.com/6800612123/I5cL50lV0,±¦¿¥,,0,0,0
http://weibo.com/6812108356/I5cLk5zJv,±¦¿¥,,0,0,0
http://weibo.com/6812110460/I5cLaBsRM,±¦¿¥,,0,0,0
http://weibo.com/6812109167/I5cLdhohN,±¦¿¥,,0,0,0
http://weibo.com/6812110615/I5cLmqzLh,±¦¿¥,,0,0,0
http://weibo.com/6813095372/I5cLnjTb9,±¦¿¥,,0,0,0
http://weibo.com/6796098800/I5cLrbFwd,±¦¿¥,,0,0,0
http://weibo.com/6805949966/I5cL7DTBr,±¦¿¥,,0,0,0
http://weibo.com/6808017106/I5cKZoPQ4,±¦¿¥,,0,0,0
http://weibo.com/6799625746/I5cLlxhan,±¦¿¥,,0,0,0
http://weibo.com/6812108784/I5cLoe6IJ,±¦¿¥,,0,0,0
http://weibo.com/6812111286/I5cLx5FdA,±¦¿¥,,0,0,0
http://weibo.com/6800961713/I5cLv0tcI,±¦¿¥,,0,0,0
http://weibo.com/6813095696/I5cL3xl6C,±¦¿¥,,0,0,0
http://weibo.com/6795077580/I5cLuqRJp,±¦¿¥,,0,0,0
http://weibo.com/6800612361/I5cLdyZRf,±¦¿¥,,0,0,0
http://weibo.com/6809101983/I5cLub32Y,±¦¿¥,,0,0,0
http://weibo.com/6795077820/I5cLnkNAj,±¦¿¥,,0,0,0
http://weibo.com/6799624770/I5cKRoF0u,±¦¿¥,,0,0,0
http://weibo.com/6800781233/I5cLBeWyZ,±¦¿¥,,0,0,0
http://weibo.com/6813094718/I5cLp8lju,±¦¿¥,,0,0,0
http://weibo.com/6799624260/I5cLGwC9P,±¦¿¥,,0,0,0
http://weibo.com/6808022951/I5cLCFLVa,±¦¿¥,,0,0,0
http://weibo.com/6812108376/I5cLkndeX,±¦¿¥,,0,0,0
http://weibo.com/6800784304/I5cLygCAo,±¦¿¥,,0,0,0
http://weibo.com/6813095372/I5cL52py2,±¦¿¥,,0,0,0
http://weibo.com/6800612361/I5cL75tme,±¦¿¥,,0,0,0
http://weibo.com/6799795906/I5cLhqKQt,±¦¿¥,,0,0,0
http://weibo.com/6799621369/I5cLu7an1,±¦¿¥,,0,0,0
http://weibo.com/6812111323/I5cLuoNtp,±¦¿¥,,0,0,0
http://weibo.com/6813096339/I5cLJu3xW,±¦¿¥,,0,0,0
http://weibo.com/6813096160/I5cLH9i3R,±¦¿¥,,0,0,0
http://weibo.com/6812110953/I5cLABxnl,±¦¿¥,,0,0,0
http://weibo.com/6800781233/I5cLSmJ9j,±¦¿¥,,0,0,0
http://weibo.com/6809101188/I5cLIkcZg,±¦¿¥,,0,0,0
http://weibo.com/6812110574/I5cLc6q3s,±¦¿¥,,0,0,0
http://weibo.com/6791404492/I5cLF5JSK,±¦¿¥,,0,0,0
http://weibo.com/6800608848/I5cLBvNLv,±¦¿¥,,0,0,0
http://weibo.com/6785107302/I5cL7n5Gm,±¦¿¥,,0,0,0
http://weibo.com/6800784453/I5cLx7Bt0,±¦¿¥,,0,0,0
http://weibo.com/6799795994/I5cLGfY4R,±¦¿¥,,0,0,0
http://weibo.com/6796100507/I5cLKnnHt,±¦¿¥,,0,0,0
http://weibo.com/6800613459/I5cLPo9K8,±¦¿¥,,0,0,0
http://weibo.com/6813096219/I5cL2Dbrv,±¦¿¥,,0,0,0
http://weibo.com/6813093876/I5cLcoVeV,±¦¿¥,,0,0,0
http://weibo.com/6813096662/I5cLF6JIo,±¦¿¥,,0,0,0
http://weibo.com/6799622702/I5cLUqXzo,±¦¿¥,,0,0,0
http://weibo.com/6796100394/I5cLN3iwP,±¦¿¥,,0,0,0
http://weibo.com/6800608331/I5cLTxFCI,±¦¿¥,,0,0,0
http://weibo.com/6813095229/I5cLIi9bl,±¦¿¥,,0,0,0
http://weibo.com/6785110379/I5cLPoagV,±¦¿¥,,0,0,0
http://weibo.com/6812107914/I5cLv0tW6,±¦¿¥,,0,0,0
http://weibo.com/6799621948/I5cNI8ysV,±¦¿¥,,0,0,0
http://weibo.com/6800605792/I5cLU8jm3,±¦¿¥,,0,0,0
http://weibo.com/6790337540/I5cLFlGt6,±¦¿¥,,0,0,0
http://weibo.com/6795082134/I5cNI8yo1,±¦¿¥,,0,0,0
http://weibo.com/6800612530/I5cLJu4FJ,±¦¿¥,,0,0,0
http://weibo.com/6813095322/I5cL5m37A,±¦¿¥,,0,0,0
http://weibo.com/6804881445/I5cNKvfgQ,±¦¿¥,,0,0,0
http://weibo.com/6795075789/I5cLSng0N,±¦¿¥,,0,0,0
http://weibo.com/6796312098/I5cNOBGwk,±¦¿¥,,0,0,0
http://weibo.com/6795077580/I5cLABxgs,±¦¿¥,,0,0,0
