Url,MonitorName,‘ƒ∂¡,µ„‘ﬁ,∆¿¬€,◊™∑¢
http://dy.163.com/v2/article/detail/EO5979IU05346RBY.html,±¶ø•,,,,
http://dy.163.com/v2/article/detail/EOA6N97S0518C3BL.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOA7ROOU052786MB.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOBRKEPQ052788QS.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EO58BC2P0527ARA2.html,±¶ø•,,,30,
http://dy.163.com/v2/article/detail/EOA8JN1G05278VAD.html,±¶ø•,,,4,
http://dy.163.com/v2/article/detail/EOA9H88P0527AHGV.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOA64QB90527BEOF.html,±¶ø•,,,5,
http://dy.163.com/v2/article/detail/EOE980MM05278H4C.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOA8JN1G05278VAD.html,±¶ø•730,,,4,
http://dy.163.com/v2/article/detail/EOA8OPHN0527HJNC.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOA7FNU60527AQ4N.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOA9DPRK05279L3C.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOABGC9M05278AAH.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOA7R131054222IG.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOA8KQA805279UHH.html,–¬±¶ø•RC-6,,,0,
http://dy.163.com/v2/article/detail/EOABSOC10514TTKN.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOBORRUE0537A5Y9.html,–¬±¶ø•RM-5,,,,
http://dy.163.com/v2/article/detail/EOA9DPRK05279L3C.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOA8JN1G05278VAD.html,±¶ø•E200,,,4,
http://dy.163.com/v2/article/detail/EOAAE0AJ0527B7KT.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOBTMBHC052786B9.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOA9H88P0527AHGV.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOA8OPHN0527HJNC.html,–¬±¶ø•RC-6,,,0,
http://dy.163.com/v2/article/detail/EOA9EPC40527AFQA.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOA9EPC40527AFQA.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOA8NE4J0527AQ4N.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOHE20UL05354IXE.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOA8HAOI0527D58A.html,–¬±¶ø•RC-6,,,3,
http://dy.163.com/v2/article/detail/EOBORRUE0537A5Y9.html,±¶ø•,,,,
http://dy.163.com/v2/article/detail/EOA9C5EH05279L3C.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOA8JN1G05278VAD.html,±¶ø•530,,,4,
http://dy.163.com/v2/article/detail/EOCP11J70527CHJ5.html,–¬±¶ø•RM-5,,,7,
http://dy.163.com/v2/article/detail/EOABGC9M05278AAH.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOA8HAOI0527D58A.html,–¬±¶ø•RM-5,,,3,
http://dy.163.com/v2/article/detail/EOABI81905346RH3.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOA7SMPM054222IG.html,ŒÂ¡‚∫Íπ‚,,,0,
http://dy.163.com/v2/article/detail/EOA7FNU60527AQ4N.html,–¬±¶ø•RS-5,,,0,
http://dy.163.com/v2/article/detail/EOD05JBV052786T6.html,±¶ø•,,,10,
http://dy.163.com/v2/article/detail/EOABSOC10514TTKN.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOAB0NS405278AAH.html,±¶ø•,,,1,
http://dy.163.com/v2/article/detail/EOE980MM05278H4C.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOD0S1PH0527AC2K.html,–¬±¶ø•RC-6,,,0,
http://dy.163.com/v2/article/detail/EOA92DTM0546207T.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOAA0TVT05453MT7.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOA7ROOU052786MB.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOD05JBV052786T6.html,–¬±¶ø•RM-5,,,10,
http://dy.163.com/v2/article/detail/EOA8OPHN0527HJNC.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOINMQPV05384RP3.html,ŒÂ¡‚∫Íπ‚,,,0,
http://dy.163.com/v2/article/detail/EOAA2S1H05453NDE.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EOA8KUF70527D58A.html,±¶ø•,,,14,
http://dy.163.com/v2/article/detail/EOILSSHF0547449L.html,±¶ø•510,,,10,
http://dy.163.com/v2/article/detail/EOA6RSQS0008856R.html,±¶ø•,,,,
http://dy.163.com/v2/article/detail/EOD3O7BN05279PVM.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOA8HAOI0527D58A.html,±¶ø•,,,3,
http://dy.163.com/v2/article/detail/EOD3P56R0527DEKV.html,–¬±¶ø•RM-5,,,0,
http://dy.163.com/v2/article/detail/EO7J5ET80527A37S.html,±¶ø•,,,2,
http://dy.163.com/v2/article/detail/EOD12RRD0527R1JK.html,–¬±¶ø•RC-6,,,0,
http://dy.163.com/v2/article/detail/EOBORRUE0537A5Y9.html,–¬±¶ø•RC-6,,,,
http://dy.163.com/v2/article/detail/EOAALN0E0527U0GC.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOAAFT6H05373SMQ.html,±¶ø•,,,0,
http://dy.163.com/v2/article/detail/EOA6RSQS0008856R.html,–¬±¶ø•RM-5,,,,
http://dy.163.com/v2/article/detail/EOCP11J70527CHJ5.html,–¬±¶ø•RC-6,,,7,
